,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_CAR,1.8840762603349088,0.2997135245279079,6.286257062648745,3.252111913099043e-10,0.26736819782728166,7.046747801890827,1.8314239014216582e-12
BETA_CARCOST,-0.41025014593043657,0.05580533843503839,-7.351449833209032,1.9606538614880265e-13,0.05080041717725828,-8.07572395515863,6.661338147750939e-16
BETA_CARPSAFE,0.2983307908548325,0.0611526650822498,4.878459351748288,1.0691769198878376e-06,0.07859305776645208,3.7958924023716607,0.0001471132979633527
BETA_CARTIME,-0.045049242292702754,0.0060929824178521655,-7.39362748868444,1.4277468096679513e-13,0.007224987838486207,-6.2351997400927885,4.5120196467962614e-10
SIGMA_CARCOST,-0.12414893547222251,0.03953099911239267,-3.1405463625963037,0.0016863301377207929,0.05062286753815501,-2.4524279541977765,0.01418957912586527
SIGMA_CARPSAFE,0.0852740610834505,0.07011374433521445,1.2162246060594688,0.22389937277147842,0.08469944556283657,1.0067841709800525,0.3140385029397539
SIGMA_CARTIME,-0.031755737745636725,0.008446661201741644,-3.75956096582741,0.00017021179632048522,0.009700618461174917,-3.27357867673424,0.0010619482253282353
