,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_ESCOOT,-0.4748017422565445,0.22999816452241287,-2.0643718754993627,0.038982470954599835,0.2772064096744319,-1.7128093928786878,0.08674761154565558
BETA_ESCOOTCOST,-0.6058994824203002,0.10885863026744008,-5.565929691855827,2.6075837267214297e-08,0.13108153418417545,-4.622309970594212,3.7949039353168956e-06
BETA_ESCOOTIME,-0.04148449877609229,0.012390357257543845,-3.348127734640947,0.0008135950285965698,0.012444241738495893,-3.3336300955775573,0.0008572057386559973
BETA_ESCOOTPSAFE,0.4311944620059657,0.0634919385999775,6.791326135474441,1.1110667941238717e-11,0.06325683465018964,6.816567164488573,9.324097050011915e-12
SIGMA_ESCOOTCOST,0.14308800387017936,0.10357170816907589,1.3815356181689598,0.16711433406944343,0.170038027696363,0.8415059019955917,0.40006458003379475
SIGMA_ESCOOTIME,0.04287480087311357,0.01044765285321259,4.103773495874705,4.06465428299807e-05,0.012220238522150283,3.5085076936427333,0.00045062820040442375
SIGMA_ESCOOTPSAFE,-0.049656717484795845,0.07461438622237242,-0.6655113041713496,0.5057235157715398,0.09539397297207688,-0.5205435515232293,0.6026847813752343
