pid,scenario,tmode,psafe,type,pav,obst,cross,veh,bike,ped,slope,block,type1,type2,type3,type4,cross1,cross2,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young
308,scenario14,walk,6,3,0,1,2,20,90,25,1,3,0,0,1,0,0,1,1,1,4,3,2.0,1,0,1,0,,,,3.0,1
308,scenario17,walk,6,4,1,1,0,60,50,5,1,3,0,0,0,1,0,0,1,1,4,3,2.0,1,0,1,0,,,,3.0,1
308,scenario04,walk,6,4,0,0,1,60,50,15,0,3,0,0,0,1,1,0,1,1,4,3,2.0,1,0,1,0,,,,3.0,1
309,scenario35,car,6,1,1,1,0,20,10,15,0,3,1,0,0,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario30,car,6,2,1,0,2,60,90,5,1,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario12,car,6,3,1,1,0,60,10,25,0,3,0,0,1,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario31,car,6,4,1,0,1,20,90,5,0,3,0,0,0,1,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario01,car,6,1,0,0,2,20,50,15,0,3,1,0,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario20,car,6,1,1,0,1,100,50,5,1,3,1,0,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario09,car,4,2,0,1,1,100,10,25,1,3,0,1,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario34,car,4,2,0,1,2,100,10,15,0,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario15,car,4,3,0,0,0,100,90,25,1,3,0,0,1,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario14,car,4,3,0,1,2,20,90,25,1,3,0,0,1,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario17,car,6,4,1,1,0,60,50,5,1,3,0,0,0,1,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario04,car,4,4,0,0,1,60,50,15,0,3,0,0,0,1,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario35,ebike,2,1,1,1,0,20,10,15,0,3,1,0,0,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario30,ebike,2,2,1,0,2,60,90,5,1,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario12,ebike,5,3,1,1,0,60,10,25,0,3,0,0,1,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario31,ebike,3,4,1,0,1,20,90,5,0,3,0,0,0,1,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario01,ebike,1,1,0,0,2,20,50,15,0,3,1,0,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario20,ebike,2,1,1,0,1,100,50,5,1,3,1,0,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario09,ebike,2,2,0,1,1,100,10,25,1,3,0,1,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario34,ebike,1,2,0,1,2,100,10,15,0,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario15,ebike,5,3,0,0,0,100,90,25,1,3,0,0,1,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario14,ebike,6,3,0,1,2,20,90,25,1,3,0,0,1,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario17,ebike,4,4,1,1,0,60,50,5,1,3,0,0,0,1,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario04,ebike,5,4,0,0,1,60,50,15,0,3,0,0,0,1,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario35,escoot,2,1,1,1,0,20,10,15,0,3,1,0,0,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario30,escoot,3,2,1,0,2,60,90,5,1,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario12,escoot,6,3,1,1,0,60,10,25,0,3,0,0,1,0,0,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario31,escoot,3,4,1,0,1,20,90,5,0,3,0,0,0,1,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario01,escoot,1,1,0,0,2,20,50,15,0,3,1,0,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario20,escoot,3,1,1,0,1,100,50,5,1,3,1,0,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario09,escoot,2,2,0,1,1,100,10,25,1,3,0,1,0,0,1,0,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
309,scenario34,escoot,2,2,0,1,2,100,10,15,0,3,0,1,0,0,0,1,1,2,4,3,3.0,1,0,1,0,,,,4.0,0
