,car,ebike,escoot,walk
kappa.1,1.13,1.58,1.51,1.26
kappa.2,2.096,3,2.76,2.025
kappa.3,3.116,4.01,3.568,2.766
kappa.4,4.176,4.957,4.628,3.513
kappa.5,5.146,6.277,5.768,4.613
constant,3.96,4.82,3.56,4.2
type1,-1.18,-3.43,-3.14,-1.51
type2,-0.833,-2.88,-2.8,-0.572
type4,-0.974,-2.48,-2.27,-0.464
cross1,-0.331,-0.348,-0.323,-0.696
cross2,0.0892,0.13,0.0715,0.0348
pav,0.834,0.638,0.664,0.0348
obst,-0.00924,0.0277,-0.014,0.104
