,osm_id,highway,permlanes,lit,maxspeed,name,oneway,length,freespeed,modes,pav,obst,cross,x_start,y_start,x_end,y_end,capacity,id,inf,geometry,from1,to1
4875,169130579,secondary,2,yes,,Μιχαλακοπούλου,0,39.919,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478314.9103,4202969.727,478303.4444,4202997.423,1200.0,4876,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478286.20594872884 4202969.727037071, 478303.4444413896 4202985.703244092, 478307.61932739307 4202990.230231871, 478314.9102719229 4202997.422988003)",999.0,999.0
4876,169130580,secondary,2,yes,,Μιχαλακοπούλου,0,8.093,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,2: with pedestrian crossing controlled by traffic lights,478406.294,4203217.45,478406.294,4203225.435,1200.0,4877,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478404.99959332845 4203217.450591123, 478406.2939769153 4203225.4358303305)",999.0,999.0
4877,169130581,secondary,2,yes,,Μιχαλακοπούλου,0,72.258,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478111.9017,4202833.149,478111.9017,4202849.26,1200.0,4878,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478041.4912274874 4202833.149023057, 478111.9017184002 4202849.260592701)",999.0,999.0
4878,169130581,secondary,2,yes,,Μιχαλακοπούλου,0,48.69,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478156.4283,4202849.26,478122.5983,4202868.348,1200.0,4879,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478111.9017184002 4202849.260592701, 478122.598346285 4202852.272285457, 478132.07534979255 4202855.73104372, 478141.94102201355 4202860.032025624, 478148.1505829882 4202863.399618261, 478156.42827857484 4202868.348360235)",999.0,999.0
4879,169130581,secondary,2,yes,,Μιχαλακοπούλου,0,105.39,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478239.9199,4202868.348,478233.2496,4202932.591,1200.0,4880,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478156.42827857484 4202868.348360235, 478233.249607174 4202927.64914763, 478239.9199382915 4202932.591127341)",999.0,999.0
4880,169130582,secondary,2,yes,,Μιχαλακοπούλου,0,6.88,50.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,2: with pedestrian crossing controlled by traffic lights,477911.2113,4202793.272,477911.2113,4202795.318,1200.0,4881,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477904.64504291845 4202793.272354031, 477911.2113046761 4202795.318467019)",999.0,999.0
4881,169130582,secondary,2,yes,,Μιχαλακοπούλου,0,11.114,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477921.908,4202795.318,477921.908,4202798.318,1200.0,4882,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477911.2113046761 4202795.318467019, 477921.90804892266 4202798.318802427)",999.0,999.0
4882,169130584,tertiary,2,,,Παπαδιαμαντοπούλου,0,129.727,30.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478148.1699,4203176.736,478148.1699,4203138.741,1200.0,4883,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478272.1554394217 4203176.736257824, 478148.16987799405 4203138.7411070345)",999.0,999.0
4883,169130585,primary,3,yes,,Βασιλίσσης Σοφίας,0,118.937,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,477751.5821,4202917.973,477691.4016,4202950.838,1200.0,4884,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477637.37090979813 4202917.973077223, 477691.40155486116 4202933.992391789, 477742.3204268666 4202949.08846634, 477751.58208309446 4202950.838686491)",999.0,999.0
4884,169130590,primary,3,yes,,Βασιλίσσης Σοφίας,0,42.514,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,478002.221,4203023.922,478002.221,4203052.497,1200.0,4885,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477970.7644558295 4203023.922305881, 478002.22095660627 4203052.497430878)",999.0,999.0
4885,169130596,secondary_link,1,,,,0,35.878,30.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,478625.6131,4202420.913,478623.6735,4202452.807,1200.0,4886,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478632.0650911823 4202420.913610229, 478623.67354011134 4202429.689581619, 478622.2898040049 4202434.619489879, 478622.49118164007 4202441.143008979, 478625.6131351219 4202452.807172527)",999.0,999.0
