pid,gender,age,education,employment,income,car_own,moto_own,cycle_own,escoot_own,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,young
225,0.0,1.0,3.0,3.0,2.0,1,0,1,0,0.0,0.0,3.0,3.0,1
226,1.0,4.0,4.0,0.0,,1,1,0,0,0.0,0.0,1.0,2.0,0
227,1.0,2.0,4.0,3.0,2.0,1,1,0,0,0.0,0.0,1.0,1.0,0
228,1.0,2.0,3.0,3.0,2.0,1,1,0,0,1.0,0.0,0.0,1.0,0
229,1.0,1.0,3.0,3.0,2.0,1,0,1,0,2.0,0.0,2.0,4.0,1
230,1.0,1.0,4.0,1.0,2.0,1,0,1,0,1.0,0.0,2.0,2.0,1
231,0.0,1.0,3.0,1.0,0.0,1,0,1,0,0.0,0.0,4.0,4.0,1
232,1.0,1.0,3.0,1.0,1.0,1,0,0,0,,,,1.0,1
233,1.0,2.0,3.0,3.0,2.0,1,0,1,1,2.0,2.0,0.0,1.0,0
234,1.0,2.0,4.0,3.0,2.0,1,1,1,1,2.0,2.0,1.0,2.0,0
235,1.0,4.0,4.0,3.0,4.0,1,0,0,0,0.0,0.0,0.0,1.0,0
236,1.0,1.0,3.0,1.0,1.0,1,0,0,0,,,,1.0,1
237,0.0,4.0,3.0,3.0,3.0,1,1,0,0,0.0,0.0,0.0,1.0,0
238,0.0,2.0,3.0,2.0,0.0,1,0,1,0,2.0,1.0,2.0,3.0,0
239,0.0,2.0,3.0,3.0,1.0,1,0,0,0,,,,1.0,0
240,1.0,3.0,3.0,3.0,3.0,1,0,1,0,1.0,0.0,4.0,3.0,0
300,0.0,,,,,0,0,0,0,,,,,0
301,1.0,1.0,4.0,3.0,2.0,1,0,1,1,3.0,2.0,4.0,4.0,1
302,0.0,1.0,4.0,1.0,2.0,0,0,1,0,0.0,0.0,4.0,4.0,1
303,0.0,1.0,4.0,3.0,2.0,1,0,1,0,0.0,0.0,2.0,2.0,1
304,1.0,2.0,4.0,3.0,3.0,1,0,1,0,1.0,1.0,2.0,4.0,0
305,0.0,2.0,4.0,3.0,2.0,1,1,1,0,1.0,,1.0,1.0,0
306,0.0,1.0,4.0,3.0,2.0,1,0,0,0,,,2.0,4.0,1
307,0.0,1.0,4.0,3.0,2.0,1,1,1,0,0.0,0.0,2.0,2.0,1
308,1.0,1.0,4.0,3.0,2.0,1,0,1,0,,,,3.0,1
309,1.0,2.0,4.0,3.0,3.0,1,0,1,0,,,,4.0,0
310,0.0,1.0,4.0,3.0,2.0,1,0,1,0,1.0,0.0,1.0,1.0,1
311,0.0,1.0,3.0,1.0,0.0,1,0,1,0,0.0,0.0,1.0,1.0,1
312,1.0,1.0,3.0,1.0,1.0,1,1,0,0,,,,1.0,1
313,1.0,1.0,4.0,3.0,2.0,1,0,1,1,2.0,2.0,4.0,4.0,1
314,1.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,,3.0,3.0,1
315,0.0,1.0,3.0,1.0,0.0,1,1,1,0,1.0,0.0,2.0,3.0,1
316,0.0,1.0,3.0,1.0,1.0,1,0,0,0,0.0,0.0,3.0,3.0,1
317,0.0,1.0,3.0,1.0,,1,0,0,0,0.0,0.0,2.0,2.0,1
318,1.0,1.0,3.0,1.0,0.0,1,0,0,0,,,1.0,2.0,1
319,0.0,1.0,3.0,1.0,1.0,1,0,1,0,0.0,0.0,3.0,3.0,1
320,0.0,1.0,4.0,1.0,0.0,1,0,0,0,,0.0,4.0,4.0,1
321,0.0,1.0,3.0,1.0,,1,0,0,0,0.0,0.0,1.0,2.0,1
322,0.0,1.0,3.0,3.0,1.0,1,0,0,0,,,4.0,4.0,1
323,1.0,1.0,3.0,1.0,0.0,1,1,1,0,0.0,0.0,2.0,1.0,1
324,1.0,1.0,3.0,1.0,1.0,1,1,1,0,0.0,0.0,1.0,1.0,1
325,0.0,1.0,4.0,3.0,1.0,1,0,0,0,1.0,0.0,3.0,,1
326,0.0,1.0,3.0,3.0,1.0,1,0,1,0,0.0,0.0,1.0,1.0,1
327,0.0,1.0,3.0,3.0,2.0,1,1,1,0,,,2.0,2.0,1
328,1.0,1.0,4.0,3.0,1.0,1,0,1,1,1.0,1.0,0.0,1.0,1
329,0.0,1.0,4.0,1.0,0.0,1,0,0,0,,1.0,1.0,2.0,1
330,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,,1.0,1.0,1
331,1.0,1.0,3.0,1.0,2.0,1,0,1,0,1.0,0.0,3.0,3.0,1
332,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,0.0,3.0,3.0,1
333,1.0,1.0,3.0,3.0,2.0,1,0,0,0,1.0,0.0,1.0,2.0,1
334,1.0,1.0,4.0,3.0,2.0,1,1,1,0,1.0,1.0,1.0,2.0,1
335,0.0,1.0,3.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1
336,0.0,1.0,3.0,1.0,1.0,1,0,0,0,1.0,0.0,0.0,2.0,1
337,1.0,1.0,3.0,3.0,2.0,1,0,1,0,1.0,,1.0,2.0,1
338,1.0,1.0,4.0,3.0,2.0,1,1,1,0,1.0,,,2.0,1
339,1.0,1.0,3.0,1.0,2.0,1,0,0,0,1.0,0.0,4.0,4.0,1
340,0.0,1.0,3.0,3.0,1.0,1,0,1,0,0.0,0.0,1.0,1.0,1
341,0.0,4.0,3.0,3.0,,1,0,0,0,0.0,0.0,1.0,2.0,0
342,0.0,2.0,4.0,3.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0
343,1.0,5.0,3.0,0.0,,1,0,0,0,0.0,0.0,1.0,3.0,0
344,0.0,1.0,3.0,3.0,2.0,1,1,0,0,0.0,,1.0,1.0,1
345,1.0,1.0,3.0,3.0,2.0,1,0,1,0,0.0,0.0,2.0,2.0,1
