,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_EBIKE,0.03100790244768702,0.22464500823990563,0.1380306764465146,0.8902161732926022,0.2474528745173024,0.12530831378771834,0.9002794706138257
BETA_EBIKECOST,-0.45608557044358944,0.06291069605579794,-7.249730157794939,4.176659018639839e-13,0.06238078207767383,-7.311315364332746,2.644551244657123e-13
BETA_EBIKEPSAFE,0.6357369036450061,0.08079788639356811,7.86823680694219,3.552713678800501e-15,0.08946250675548292,7.106182541727666,1.1930456622621932e-12
BETA_EBIKETIME,0.020288129676247334,0.009239762671419002,2.195741427320835,0.028110456165867825,0.010226998060454656,1.9837815120642934,0.04728020202039196
SIGMA_EBIKECOST,-0.11717997138753697,0.06158126868039785,-1.9028508814213003,0.05706000575405956,0.05487514360356551,-2.13539252369124,0.03272896086373711
SIGMA_EBIKEPSAFE,-0.6125643654233842,0.09562503241767058,-6.405899688983408,1.4948531301683943e-10,0.1412816557859789,-4.335767173845484,1.4525262707287823e-05
SIGMA_EBIKETIME,-0.003263006374170436,0.011811010196396715,-0.27626818704854805,0.7823420884518411,0.017934588120266517,-0.18193929809200135,0.8556303637360831
