,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_WALK,1.079460346706073,0.1764065650983829,6.119161983025133,9.406875278727966e-10,0.22763776156023743,4.7420091434189695,2.1160907102135695e-06
BETA_WALKPSAFE,0.11938486014541791,0.05688545300709959,2.098688747903934,0.03584434721489638,0.05963546774786108,2.001910350568179,0.04529437424646843
BETA_WALKTIME,-0.0657201454392474,0.006594437975765942,-9.965996447424926,0.0,0.008422300672608794,-7.803110811869257,5.995204332975845e-15
SIGMA_WALKPSAFE,-0.1393929667107203,0.06336564004218924,-2.1998194387038716,0.027819708248616015,0.06798848989176362,-2.0502436064197225,0.040340664648553126
SIGMA_WALKTIME,-0.0268870939337099,0.0047242212623127295,-5.691328250901482,1.2605490873340841e-08,0.005114126429114076,-5.2574167468064665,1.4609299481271876e-07
