,car,ebike,escoot,walk
gender,0.622,0.349,0.408,-0.055
young,0.707,0.758,0.739,0.455
license_own,2.678,0.221,-0.32,2.266
cross1,-0.78,-0.458,-0.565,-1.702
cross2,0.023,0.052,0.056,0.03
pav,1.447,0.918,1.043,0.258
obst,0.236,0.408,0.549,1.065
veh,-0.002,-0.005,-0.002,0.002
bike,-0.001,0,-0.002,0.004
ped,-0.005,-0.009,-0.004,0.006
mean.type1,-0.84,-5.649,-4.531,-2.466
mean.type2,-0.781,-4.801,-3.41,-0.909
mean.type4,-0.937,-3.39,-2.738,-0.521
sd.type1,0.745,1.797,1.609,0.917
sd.type2,0.124,1.679,1.195,0.504
sd.type4,0.321,1.958,1.449,0.471
kappa.1,1.612,2.461,2.442,1.733
kappa.2,2.732,4.071,3.665,2.891
kappa.3,4.57,5.861,5.063,4.556
kappa.4,6.278,7.217,6.332,5.921
kappa.5,8.36,8.952,7.808,7.891
constant,2.927,6.72,4.96,4.133
