"","car","ebike","escoot","walk"
"kappa.1",1.89266895241407,2.39929462562117,2.37363764800018,1.78936136880003
"kappa.2",3.68893372672151,4.68215279251157,4.35573194710117,3.06499101955893
"kappa.3",5.61187088986469,6.25345255479851,5.63565884228627,4.37154304317183
"kappa.4",7.61930390381314,7.5562798235901,7.19537344507658,5.6945750548664
"kappa.5",9.48753643241949,9.22718093858637,8.59686241207207,7.53378522047332
"constant",7.15970262825688,7.20528463049707,4.85709653338848,5.72938004027869
"car_own",-0.00717419395704275,-0.809791121993071,0.878278023406495,0.159922454312862
"gender",-0.742225284971555,0.536511361884872,0.508118934001191,-0.44904823823881
"young",-0.424738266071654,-0.30675978139983,-0.522190665935221,-0.445838271768813
"pav",1.39683694599951,0.830784239909938,0.963811717648764,0.655258501385897
"cross1",0.84332346147172,0.59428669412962,0.567453467113469,1.16564958074482
"cross2",0.569815173958351,0.424952430524182,0.437504166746855,1.10627734205167
"obst",0.0936917406710175,-0.0219146314600201,0.0275969801812868,-0.0705608583247711
"mean.type1",-2.25513544341355,-4.85038970432103,-4.56519407556381,-2.28720373768505
"mean.type2",-1.5947095650833,-4.05192108449599,-4.118864004229,-0.781540938046429
"mean.type4",-1.6589592375953,-3.31682640064644,-3.27954121692802,-0.590748742541944
"mean.veh",-0.00609793617254925,-0.000121214869235498,-0.00336101741392213,-0.000424676258804571
"mean.bike",0.000364238835738091,-0.00279640136473667,-0.00415643682872748,0.00246434060084231
"mean.ped",0.0349322980333735,0.00559596117652929,-0.001271960055267,0.0217573746661181
"sd.type1",1.24908744190028,1.18193776138346,0.894242299806656,0.906716725595336
"sd.type2",0.538820315286792,1.06606444435433,0.966656809383663,0.0767952352187118
"sd.type4",1.05152094048681,1.2768504387077,1.3299255091421,0.315822629683977
"sd.veh",0.0177284141108172,0.0122275983765474,0.0144433057582479,0.0152120494550539
"sd.bike",0.00995131573979477,0.0043488720872434,0.00759951133362162,0.0137775369745634
"sd.ped",0.122634008396959,0.0658814322896588,0.0578874196357662,0.078815473878206
